timestamp,value,__name__,id,image,instance,job,name
18:56:24.901,1739472982.000000,container_start_time_seconds,BusyBox v1.32.1 (2021-04-13 11:15:36 UTC) multi-call binary.,"gcc-8-base_8.3.0-6_amd64.deb
libc6_2.28-10_amd64.deb
libgcc1_1%3a8.3.0-6_amd64.deb
bash_5.0-4_amd64.deb
libc-bin_2.28-10_amd64.deb
libtinfo6_6.1+20181013-2+deb10u2_amd64.deb
ncurses-base_6.1+20181013-2+deb10u2_all.deb
base-files_10.3+deb10u9_amd64.deb",GNU C Library (Debian GLIBC 2.28-10) stable release version 2.28.,1.19.6,"gcc-8-base
libc6
libgcc1
bash
libc-bin
libtinfo6
ncurses-base
base-files",/docker/a57c2e317632228751ac024379cfb2dbfb4de6c93b1f472e4cfd6c115f67293a,quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0,192.168.2.128:8081,cAdvisor,nxf-TuFbHy3t8OC0Lv7tn7udVWkj
18:56:26.166,1739472976.000000,container_start_time_seconds,"GNU bash, version 5.2.15(1)-release (x86_64-pc-linux-gnu)",BusyBox v1.36.1 (2023-10-17 11:19:33 UTC) multi-call binary.,gcc-12-base_12.2.0-14_amd64.deb|libc6_2.36-9+deb12u3_amd64.deb|libgcc-s1_12.2.0-14_amd64.deb|base-passwd_3.6.1_amd64.deb|bash_5.2.15-2+b2_amd64.deb|libc-bin_2.36-9+deb12u3_amd64.deb|libcrypt1_1%3a4.4.33-2_amd64.deb|libtinfo6_6.4-4_amd64.deb|login_1%3a4.13+dfsg1-1+b1_amd64.deb|ncurses-base_6.4-4_all.deb|base-files_12.4+deb12u2_amd64.deb,GNU C Library (Debian GLIBC 2.36-9+deb12u3) stable release version 2.36.,1.23.1,gcc-12-base|libc6|libgcc-s1|base-passwd|bash|libc-bin|libcrypt1|libtinfo6|login|ncurses-base|base-files,/docker/1fb010199807644cc7abaaabe06f60bbc7151a9bff5588f6b18abff11f006c55,quay.io/biocontainers/bwa:0.7.18--he4a0461_0,192.168.2.128:8081,cAdvisor,nxf-odufRmlhoix120uC4jCCAoQm
18:56:26.166,1739472982.000000,container_start_time_seconds,BusyBox v1.32.1 (2021-04-13 11:15:36 UTC) multi-call binary.,"gcc-8-base_8.3.0-6_amd64.deb
libc6_2.28-10_amd64.deb
libgcc1_1%3a8.3.0-6_amd64.deb
bash_5.0-4_amd64.deb
libc-bin_2.28-10_amd64.deb
libtinfo6_6.1+20181013-2+deb10u2_amd64.deb
ncurses-base_6.1+20181013-2+deb10u2_all.deb
base-files_10.3+deb10u9_amd64.deb",GNU C Library (Debian GLIBC 2.28-10) stable release version 2.28.,1.19.6,"gcc-8-base
libc6
libgcc1
bash
libc-bin
libtinfo6
ncurses-base
base-files",/docker/257e384494d875b1d44fc9271ba7ca009b7b3af3227be2707d2cac9be571d59c,quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0,192.168.2.128:8081,cAdvisor,nxf-RqJSwh4aeVTH8pnEA2xyVNqt
18:56:26.166,1739472982.000000,container_start_time_seconds,BusyBox v1.32.1 (2021-04-13 11:15:36 UTC) multi-call binary.,"gcc-8-base_8.3.0-6_amd64.deb
libc6_2.28-10_amd64.deb
libgcc1_1%3a8.3.0-6_amd64.deb
bash_5.0-4_amd64.deb
libc-bin_2.28-10_amd64.deb
libtinfo6_6.1+20181013-2+deb10u2_amd64.deb
ncurses-base_6.1+20181013-2+deb10u2_all.deb
base-files_10.3+deb10u9_amd64.deb",GNU C Library (Debian GLIBC 2.28-10) stable release version 2.28.,1.19.6,"gcc-8-base
libc6
libgcc1
bash
libc-bin
libtinfo6
ncurses-base
base-files",/docker/34e99eede2280243d63538fce5edab4f4cd0fa8de4d5845ea25329d4c5e3b2c0,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,192.168.2.128:8081,cAdvisor,nxf-80NKQ5LidsugdfVIYux2XZ2T
18:56:26.166,1739472983.000000,container_start_time_seconds,BusyBox v1.32.1 (2021-04-13 11:15:36 UTC) multi-call binary.,"gcc-8-base_8.3.0-6_amd64.deb
libc6_2.28-10_amd64.deb
libgcc1_1%3a8.3.0-6_amd64.deb
bash_5.0-4_amd64.deb
libc-bin_2.28-10_amd64.deb
libtinfo6_6.1+20181013-2+deb10u2_amd64.deb
ncurses-base_6.1+20181013-2+deb10u2_all.deb
base-files_10.3+deb10u9_amd64.deb",GNU C Library (Debian GLIBC 2.28-10) stable release version 2.28.,1.19.6,"gcc-8-base
libc6
libgcc1
bash
libc-bin
libtinfo6
ncurses-base
base-files",/docker/704e8b11e394f6ddb61fb9c533de1650f31f40b9925d40cc510ff59276e8dee6,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,192.168.2.128:8081,cAdvisor,nxf-NWVZt6XRiyLvK2kFRLUgzFYR
18:56:26.166,1739472982.000000,container_start_time_seconds,BusyBox v1.32.1 (2021-04-13 11:15:36 UTC) multi-call binary.,"gcc-8-base_8.3.0-6_amd64.deb
libc6_2.28-10_amd64.deb
libgcc1_1%3a8.3.0-6_amd64.deb
bash_5.0-4_amd64.deb
libc-bin_2.28-10_amd64.deb
libtinfo6_6.1+20181013-2+deb10u2_amd64.deb
ncurses-base_6.1+20181013-2+deb10u2_all.deb
base-files_10.3+deb10u9_amd64.deb",GNU C Library (Debian GLIBC 2.28-10) stable release version 2.28.,1.19.6,"gcc-8-base
libc6
libgcc1
bash
libc-bin
libtinfo6
ncurses-base
base-files",/docker/a57c2e317632228751ac024379cfb2dbfb4de6c93b1f472e4cfd6c115f67293a,quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0,192.168.2.128:8081,cAdvisor,nxf-TuFbHy3t8OC0Lv7tn7udVWkj
18:56:27.975,1739472976.000000,container_start_time_seconds,"GNU bash, version 5.2.15(1)-release (x86_64-pc-linux-gnu)",BusyBox v1.36.1 (2023-10-17 11:19:33 UTC) multi-call binary.,gcc-12-base_12.2.0-14_amd64.deb|libc6_2.36-9+deb12u3_amd64.deb|libgcc-s1_12.2.0-14_amd64.deb|base-passwd_3.6.1_amd64.deb|bash_5.2.15-2+b2_amd64.deb|libc-bin_2.36-9+deb12u3_amd64.deb|libcrypt1_1%3a4.4.33-2_amd64.deb|libtinfo6_6.4-4_amd64.deb|login_1%3a4.13+dfsg1-1+b1_amd64.deb|ncurses-base_6.4-4_all.deb|base-files_12.4+deb12u2_amd64.deb,GNU C Library (Debian GLIBC 2.36-9+deb12u3) stable release version 2.36.,1.23.1,gcc-12-base|libc6|libgcc-s1|base-passwd|bash|libc-bin|libcrypt1|libtinfo6|login|ncurses-base|base-files,/docker/1fb010199807644cc7abaaabe06f60bbc7151a9bff5588f6b18abff11f006c55,quay.io/biocontainers/bwa:0.7.18--he4a0461_0,192.168.2.128:8081,cAdvisor,nxf-odufRmlhoix120uC4jCCAoQm
18:56:27.975,1739472982.000000,container_start_time_seconds,BusyBox v1.32.1 (2021-04-13 11:15:36 UTC) multi-call binary.,"gcc-8-base_8.3.0-6_amd64.deb
libc6_2.28-10_amd64.deb
libgcc1_1%3a8.3.0-6_amd64.deb
bash_5.0-4_amd64.deb
libc-bin_2.28-10_amd64.deb
libtinfo6_6.1+20181013-2+deb10u2_amd64.deb
ncurses-base_6.1+20181013-2+deb10u2_all.deb
base-files_10.3+deb10u9_amd64.deb",GNU C Library (Debian GLIBC 2.28-10) stable release version 2.28.,1.19.6,"gcc-8-base
libc6
libgcc1
bash
libc-bin
libtinfo6
ncurses-base
base-files",/docker/257e384494d875b1d44fc9271ba7ca009b7b3af3227be2707d2cac9be571d59c,quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0,192.168.2.128:8081,cAdvisor,nxf-RqJSwh4aeVTH8pnEA2xyVNqt
18:56:27.975,1739472982.000000,container_start_time_seconds,BusyBox v1.32.1 (2021-04-13 11:15:36 UTC) multi-call binary.,"gcc-8-base_8.3.0-6_amd64.deb
libc6_2.28-10_amd64.deb
libgcc1_1%3a8.3.0-6_amd64.deb
bash_5.0-4_amd64.deb
libc-bin_2.28-10_amd64.deb
libtinfo6_6.1+20181013-2+deb10u2_amd64.deb
ncurses-base_6.1+20181013-2+deb10u2_all.deb
base-files_10.3+deb10u9_amd64.deb",GNU C Library (Debian GLIBC 2.28-10) stable release version 2.28.,1.19.6,"gcc-8-base
libc6
libgcc1
bash
libc-bin
libtinfo6
ncurses-base
base-files",/docker/34e99eede2280243d63538fce5edab4f4cd0fa8de4d5845ea25329d4c5e3b2c0,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,192.168.2.128:8081,cAdvisor,nxf-80NKQ5LidsugdfVIYux2XZ2T
18:56:27.975,1739472983.000000,container_start_time_seconds,BusyBox v1.32.1 (2021-04-13 11:15:36 UTC) multi-call binary.,"gcc-8-base_8.3.0-6_amd64.deb
libc6_2.28-10_amd64.deb
libgcc1_1%3a8.3.0-6_amd64.deb
bash_5.0-4_amd64.deb
libc-bin_2.28-10_amd64.deb
libtinfo6_6.1+20181013-2+deb10u2_amd64.deb
ncurses-base_6.1+20181013-2+deb10u2_all.deb
base-files_10.3+deb10u9_amd64.deb",GNU C Library (Debian GLIBC 2.28-10) stable release version 2.28.,1.19.6,"gcc-8-base
libc6
libgcc1
bash
libc-bin
libtinfo6
ncurses-base
base-files",/docker/704e8b11e394f6ddb61fb9c533de1650f31f40b9925d40cc510ff59276e8dee6,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,192.168.2.128:8081,cAdvisor,nxf-NWVZt6XRiyLvK2kFRLUgzFYR
18:56:27.975,1739472982.000000,container_start_time_seconds,BusyBox v1.32.1 (2021-04-13 11:15:36 UTC) multi-call binary.,"gcc-8-base_8.3.0-6_amd64.deb
libc6_2.28-10_amd64.deb
libgcc1_1%3a8.3.0-6_amd64.deb
bash_5.0-4_amd64.deb
libc-bin_2.28-10_amd64.deb
libtinfo6_6.1+20181013-2+deb10u2_amd64.deb
ncurses-base_6.1+20181013-2+deb10u2_all.deb
base-files_10.3+deb10u9_amd64.deb",GNU C Library (Debian GLIBC 2.28-10) stable release version 2.28.,1.19.6,"gcc-8-base
libc6
libgcc1
bash
libc-bin
libtinfo6
ncurses-base
base-files",/docker/a57c2e317632228751ac024379cfb2dbfb4de6c93b1f472e4cfd6c115f67293a,quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0,192.168.2.128:8081,cAdvisor,nxf-TuFbHy3t8OC0Lv7tn7udVWkj
18:56:29.205,1739472976.000000,container_start_time_seconds,"GNU bash, version 5.2.15(1)-release (x86_64-pc-linux-gnu)",BusyBox v1.36.1 (2023-10-17 11:19:33 UTC) multi-call binary.,gcc-12-base_12.2.0-14_amd64.deb|libc6_2.36-9+deb12u3_amd64.deb|libgcc-s1_12.2.0-14_amd64.deb|base-passwd_3.6.1_amd64.deb|bash_5.2.15-2+b2_amd64.deb|libc-bin_2.36-9+deb12u3_amd64.deb|libcrypt1_1%3a4.4.33-2_amd64.deb|libtinfo6_6.4-4_amd64.deb|login_1%3a4.13+dfsg1-1+b1_amd64.deb|ncurses-base_6.4-4_all.deb|base-files_12.4+deb12u2_amd64.deb,GNU C Library (Debian GLIBC 2.36-9+deb12u3) stable release version 2.36.,1.23.1,gcc-12-base|libc6|libgcc-s1|base-passwd|bash|libc-bin|libcrypt1|libtinfo6|login|ncurses-base|base-files,/docker/1fb010199807644cc7abaaabe06f60bbc7151a9bff5588f6b18abff11f006c55,quay.io/biocontainers/bwa:0.7.18--he4a0461_0,192.168.2.128:8081,cAdvisor,nxf-odufRmlhoix120uC4jCCAoQm
18:56:29.205,1739472982.000000,container_start_time_seconds,BusyBox v1.32.1 (2021-04-13 11:15:36 UTC) multi-call binary.,"gcc-8-base_8.3.0-6_amd64.deb
libc6_2.28-10_amd64.deb
libgcc1_1%3a8.3.0-6_amd64.deb
bash_5.0-4_amd64.deb
libc-bin_2.28-10_amd64.deb
libtinfo6_6.1+20181013-2+deb10u2_amd64.deb
ncurses-base_6.1+20181013-2+deb10u2_all.deb
base-files_10.3+deb10u9_amd64.deb",GNU C Library (Debian GLIBC 2.28-10) stable release version 2.28.,1.19.6,"gcc-8-base
libc6
libgcc1
bash
libc-bin
libtinfo6
ncurses-base
base-files",/docker/257e384494d875b1d44fc9271ba7ca009b7b3af3227be2707d2cac9be571d59c,quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0,192.168.2.128:8081,cAdvisor,nxf-RqJSwh4aeVTH8pnEA2xyVNqt
18:56:29.205,1739472982.000000,container_start_time_seconds,BusyBox v1.32.1 (2021-04-13 11:15:36 UTC) multi-call binary.,"gcc-8-base_8.3.0-6_amd64.deb
libc6_2.28-10_amd64.deb
libgcc1_1%3a8.3.0-6_amd64.deb
bash_5.0-4_amd64.deb
libc-bin_2.28-10_amd64.deb
libtinfo6_6.1+20181013-2+deb10u2_amd64.deb
ncurses-base_6.1+20181013-2+deb10u2_all.deb
base-files_10.3+deb10u9_amd64.deb",GNU C Library (Debian GLIBC 2.28-10) stable release version 2.28.,1.19.6,"gcc-8-base
libc6
libgcc1
bash
libc-bin
libtinfo6
ncurses-base
base-files",/docker/34e99eede2280243d63538fce5edab4f4cd0fa8de4d5845ea25329d4c5e3b2c0,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,192.168.2.128:8081,cAdvisor,nxf-80NKQ5LidsugdfVIYux2XZ2T
18:56:29.205,1739472983.000000,container_start_time_seconds,BusyBox v1.32.1 (2021-04-13 11:15:36 UTC) multi-call binary.,"gcc-8-base_8.3.0-6_amd64.deb
libc6_2.28-10_amd64.deb
libgcc1_1%3a8.3.0-6_amd64.deb
bash_5.0-4_amd64.deb
libc-bin_2.28-10_amd64.deb
libtinfo6_6.1+20181013-2+deb10u2_amd64.deb
ncurses-base_6.1+20181013-2+deb10u2_all.deb
base-files_10.3+deb10u9_amd64.deb",GNU C Library (Debian GLIBC 2.28-10) stable release version 2.28.,1.19.6,"gcc-8-base
libc6
libgcc1
bash
libc-bin
libtinfo6
ncurses-base
base-files",/docker/704e8b11e394f6ddb61fb9c533de1650f31f40b9925d40cc510ff59276e8dee6,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,192.168.2.128:8081,cAdvisor,nxf-NWVZt6XRiyLvK2kFRLUgzFYR
18:56:29.205,1739472982.000000,container_start_time_seconds,BusyBox v1.32.1 (2021-04-13 11:15:36 UTC) multi-call binary.,"gcc-8-base_8.3.0-6_amd64.deb
libc6_2.28-10_amd64.deb
libgcc1_1%3a8.3.0-6_amd64.deb
bash_5.0-4_amd64.deb
libc-bin_2.28-10_amd64.deb
libtinfo6_6.1+20181013-2+deb10u2_amd64.deb
ncurses-base_6.1+20181013-2+deb10u2_all.deb
base-files_10.3+deb10u9_amd64.deb",GNU C Library (Debian GLIBC 2.28-10) stable release version 2.28.,1.19.6,"gcc-8-base
libc6
libgcc1
bash
libc-bin
libtinfo6
ncurses-base
base-files",/docker/a57c2e317632228751ac024379cfb2dbfb4de6c93b1f472e4cfd6c115f67293a,quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0,192.168.2.128:8081,cAdvisor,nxf-TuFbHy3t8OC0Lv7tn7udVWkj
18:56:30.415,1739472982.000000,container_start_time_seconds,BusyBox v1.32.1 (2021-04-13 11:15:36 UTC) multi-call binary.,"gcc-8-base_8.3.0-6_amd64.deb
libc6_2.28-10_amd64.deb
libgcc1_1%3a8.3.0-6_amd64.deb
bash_5.0-4_amd64.deb
libc-bin_2.28-10_amd64.deb
libtinfo6_6.1+20181013-2+deb10u2_amd64.deb
ncurses-base_6.1+20181013-2+deb10u2_all.deb
base-files_10.3+deb10u9_amd64.deb",GNU C Library (Debian GLIBC 2.28-10) stable release version 2.28.,1.19.6,"gcc-8-base
libc6
libgcc1
bash
libc-bin
libtinfo6
ncurses-base
base-files",/docker/34e99eede2280243d63538fce5edab4f4cd0fa8de4d5845ea25329d4c5e3b2c0,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,192.168.2.128:8081,cAdvisor,nxf-80NKQ5LidsugdfVIYux2XZ2T
